id,name,address,city,state,zip,lat,lon,phone,type,ownership,quality,beds
1,Korle Bu Teaching Hospital,Korle Bu,Accra,Ghana,GA001,5.5347,-0.2250,+233302665401,HOSPITAL,GOVERNMENT,0.85,2000
2,Komfo Anokye Teaching Hospital,Bantama,Kumasi,Ghana,GA004,6.6969,-1.6278,+233322022301,HOSPITAL,GOVERNMENT,0.85,1200
3,Tamale Teaching Hospital,Hospital Road,Tamale,Ghana,GA013,9.4075,-0.8456,+233372022301,HOSPITAL,GOVERNMENT,0.80,600
4,Cape Coast Teaching Hospital,Cape Coast,Cape Coast,Ghana,GA011,5.1167,-1.2500,+233332135191,HOSPITAL,GOVERNMENT,0.80,400
5,Ho Teaching Hospital,Ho,Ho,Ghana,GA015,6.6111,0.4625,+233362026301,HOSPITAL,GOVERNMENT,0.78,350
6,37 Military Hospital,Liberation Road,Accra,Ghana,GA001,5.5833,-0.1833,+233302776111,HOSPITAL,GOVERNMENT,0.82,500
7,Ridge Hospital,Castle Road,Accra,Ghana,GA001,5.5556,-0.2000,+233302227328,HOSPITAL,GOVERNMENT,0.78,420
8,Tema General Hospital,Community 1,Tema,Ghana,GA002,5.6500,-0.0167,+233303212002,HOSPITAL,GOVERNMENT,0.75,300
9,Effia Nkwanta Regional Hospital,Takoradi,Takoradi,Ghana,GA007,4.9000,-1.7500,+233312023994,HOSPITAL,GOVERNMENT,0.75,350
10,Koforidua Regional Hospital,Koforidua,Koforidua,Ghana,GA009,6.0833,-0.2500,+233342022301,HOSPITAL,GOVERNMENT,0.75,280
11,Sunyani Regional Hospital,Sunyani,Sunyani,Ghana,GA017,7.3333,-2.3333,+233352022301,HOSPITAL,GOVERNMENT,0.73,250
12,Bolgatanga Regional Hospital,Bolgatanga,Bolgatanga,Ghana,GA019,10.7833,-0.8500,+233382022301,HOSPITAL,GOVERNMENT,0.70,200
13,Wa Regional Hospital,Wa,Wa,Ghana,GA021,10.0500,-2.5000,+233392022301,HOSPITAL,GOVERNMENT,0.70,180
14,Nyaho Medical Centre,Airport Area,Accra,Ghana,GA001,5.6069,-0.1750,+233302785843,HOSPITAL,PRIVATE,0.88,100
15,Lister Hospital,North Ridge,Accra,Ghana,GA001,5.5667,-0.2000,+233302227366,HOSPITAL,PRIVATE,0.85,80
16,Trust Hospital,Osu,Accra,Ghana,GA001,5.5583,-0.1667,+233302762275,HOSPITAL,PRIVATE,0.82,60
17,Akai House Clinic,Labone,Accra,Ghana,GA001,5.5625,-0.1583,+233302770793,CLINIC,PRIVATE,0.80,25
18,La General Hospital,La,Accra,Ghana,GA001,5.5500,-0.1500,+233302773060,HOSPITAL,GOVERNMENT,0.73,150
19,Achimota Hospital,Achimota,Accra,Ghana,GA003,5.6167,-0.2167,+233302412801,HOSPITAL,GOVERNMENT,0.72,200
20,Mamprobi Polyclinic,Mamprobi,Accra,Ghana,GA001,5.5417,-0.2250,+233302663771,CLINIC,GOVERNMENT,0.70,50
21,Manhyia Hospital,Manhyia,Kumasi,Ghana,GA004,6.7167,-1.6167,+233322024941,HOSPITAL,GOVERNMENT,0.72,180
22,Agogo Presbyterian Hospital,Agogo,Ashanti,Ghana,GA006,6.8000,-1.0833,+233322091261,HOSPITAL,MISSION,0.75,220
23,St Patrick Hospital,Offinso,Ashanti,Ghana,GA004,7.0333,-1.9500,+233322091301,HOSPITAL,MISSION,0.73,150
24,Tarkwa Municipal Hospital,Tarkwa,Tarkwa,Ghana,GA008,5.3000,-1.9833,+233312020301,HOSPITAL,GOVERNMENT,0.70,120
25,Obuasi Government Hospital,Obuasi,Obuasi,Ghana,GA005,6.2000,-1.6500,+233322440236,HOSPITAL,GOVERNMENT,0.72,150
